DataName,Data 2025-03-15 17-10-51_002,FrameRate,120,StartTime,2025.03.15 20:11:56:517,FrameCount,557,LengthUnits,mm,CoordinateSpace,World

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
326,2.716667,-0.165162,0.903143,-0.390802,0.065789,301.396942,1801.646851,-331.972473,-0.305057,0.183267,-0.398650,0.534386,8.149659,-12.756446,6.801413,16.595272,6.295583,-0.503993,4.714160,377.287109,138.763046,159.924561,117.580025,1682.471191,-318.067841,372.009918,1723.896973,-414.203918,469.198029,1948.039429,-300.752960,246.799698,1852.179688,-294.865356,-0.325520,0.833789,0.279913,-0.347105,371.129242,1836.854736,-541.677856,-0.395980,0.196611,0.282957,0.524901,12.705029,-21.285353,-13.224027,28.095533,-7.345993,1.389668,0.050146,60.196548,-235.731934,93.291275,478.662201,1948.981201,-563.752502,257.654846,1845.267944,-595.363220,373.942719,1724.441162,-459.647217,138.274475,1660.726685,-583.981750,,,,,,,2627.885742,37.095985,1375.135986,2654.778564,53.750832,1305.366821,2662.792480,37.807465,1330.228882,2455.566650,133.418961,1465.890259,,,,828.477600,762.377014,-78.991913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.288239,1294.814941,-398.060272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,2.725000,-0.159808,0.924816,-0.342562,0.042762,307.139496,1796.410156,-323.728912,-0.071843,-0.038628,-0.079069,0.113602,27.985691,-26.627342,38.349758,54.432693,-13.324734,3.925638,0.621827,-2354.437988,531.555725,-491.080017,116.923500,1686.012817,-317.813049,372.372070,1723.467163,-413.210541,479.742615,1939.873291,-294.896484,,,,-0.301203,0.862310,0.235399,-0.332091,377.326904,1830.079102,-549.457092,-0.134729,-0.089692,-0.018113,0.162864,31.350143,-34.356441,-36.128315,58.893562,9.976908,-3.538505,9.799679,2078.748047,-591.380737,1169.943848,488.002686,1941.772217,-568.959229,,,,374.034424,1723.930298,-460.529388,135.707718,1664.992920,-582.857300,258.006287,1853.717041,-584.516479,249.378296,1862.161499,-308.643646,2627.877197,37.127750,1375.148560,2654.774170,53.744370,1305.390503,2662.747559,37.772404,1330.210083,2455.661865,133.418289,1465.888306,,,,828.423401,762.318970,-79.210724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.889130,1294.878662,-398.084259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,2.733333,-0.140552,0.937047,-0.318051,0.032116,312.600525,1793.219116,-318.847260,0.140134,-0.158980,0.127137,0.247136,25.437305,-14.442188,24.744724,38.313637,-6.658092,3.132070,4.120188,799.997009,-95.228142,419.803375,117.014282,1690.456177,-315.824402,373.017731,1722.879028,-412.365570,492.760162,1927.290894,-285.848969,,,,-0.275396,0.876909,0.223269,-0.324559,385.138763,1824.960083,-553.487427,0.165586,-0.280547,-0.185596,0.374928,36.037792,-22.902538,-20.097948,47.192970,1.823221,-3.304114,6.938777,-978.442322,28.126886,-343.308136,502.542511,1930.583862,-574.871887,,,,374.765350,1723.423218,-461.358093,135.609161,1669.618896,-584.396606,264.767334,1863.967285,-575.944153,258.095551,1871.738892,-317.498322,2627.867188,37.132736,1375.181763,2654.788818,53.762245,1305.412476,2662.882080,37.662552,1330.110474,2455.595459,133.417175,1465.857544,,,,828.533813,762.334534,-79.469566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.920837,1294.856934,-398.093689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,2.741667,-0.119746,0.950804,-0.284920,0.021300,318.865875,1788.540771,-312.759827,0.364149,-0.258164,0.328272,0.554090,26.881786,-11.902148,24.136086,38.037380,-8.707932,3.009882,4.574308,-245.980789,-14.662570,54.494358,117.914909,1694.447021,-313.475647,374.111694,1722.531738,-411.429291,506.728912,1911.631348,-274.254333,,,,-0.242545,0.894384,0.204905,-0.315059,394.467773,1817.457397,-559.115356,0.487786,-0.471929,-0.346230,0.761923,38.663963,-22.965820,-19.276171,48.927517,2.871106,-3.908084,8.993007,125.746155,-72.476372,246.507492,518.156311,1914.083618,-582.962341,,,,376.369568,1722.695923,-462.229095,136.703247,1675.491455,-587.596436,275.844299,1872.298950,-569.047974,269.900177,1878.827759,-321.532745,2627.898926,37.154755,1375.151978,2654.795898,53.817768,1305.557007,2662.916260,37.569221,1329.962036,2455.637939,133.421524,1465.870972,,,,828.792969,762.482727,-79.267151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.172943,1294.833130,-398.219574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,2.750000,-0.097011,0.962555,-0.252742,0.014096,323.889313,1783.876831,-307.250000,0.524594,-0.383174,0.509392,0.825531,19.253321,-15.001172,21.734468,32.681992,-8.239707,2.334618,5.199025,56.186939,-81.031715,74.966064,118.840187,1699.991333,-312.134399,375.023712,1722.041504,-410.670135,517.650208,1894.767700,-262.606018,,,,-0.207357,0.910089,0.184330,-0.307836,403.023407,1809.548218,-564.901245,0.755178,-0.661480,-0.523499,1.132210,32.087112,-22.746098,-21.272165,44.715462,2.949434,-3.271777,9.671010,9.399289,76.356804,81.360390,532.975586,1897.075684,-592.184326,,,,377.149719,1722.136475,-462.910339,137.785461,1681.757202,-589.635742,289.150238,1878.380493,-568.487366,281.450623,1880.936768,-316.336914,2627.914795,37.169338,1375.131470,2654.797852,53.809044,1305.477539,2662.800781,37.690002,1330.110718,2455.666748,133.434036,1465.892456,,,,828.811401,762.581787,-79.309891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.154785,1295.089233,-397.869171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756.981506,857.707397,-288.393341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,2.758333,-0.074070,0.971583,-0.224478,0.012262,327.585266,1779.279907,-303.174835,0.628517,-0.536821,0.691146,1.077448,12.470798,-18.437693,21.810499,31.163555,-7.043710,1.187916,5.495688,143.519669,-137.604141,35.599594,119.099419,1705.427124,-313.220764,376.194641,1721.422119,-409.965332,525.900330,1878.189331,-251.913391,,,,-0.170889,0.921895,0.167624,-0.304644,410.368561,1801.353027,-570.405945,0.941744,-0.852026,-0.689473,1.445062,22.387939,-22.865623,-19.916895,37.692696,1.636266,-2.352241,9.648680,-157.580109,110.344353,-2.679634,546.120667,1879.232544,-601.476868,,,,378.343048,1721.508789,-464.033600,137.602905,1688.869019,-590.046936,301.775757,1878.824829,-575.289490,290.733704,1879.211060,-306.958710,2627.896729,37.151375,1375.149292,2654.768311,53.766270,1305.424805,2662.947998,37.580673,1329.983643,2455.559326,133.429626,1465.846802,,,,829.068481,762.670532,-79.026283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.905090,1294.895264,-398.098877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754.315369,851.567139,-273.702545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,2.766667,-0.051157,0.978555,-0.198993,0.014634,329.299164,1775.454956,-299.515472,0.531837,-0.502939,0.581122,0.934613,-11.601562,4.065821,-13.202927,18.040077,-6.209863,0.248785,5.670731,100.061584,-112.695732,21.005056,118.259377,1711.846802,-315.146454,376.993011,1721.058960,-409.301422,530.410767,1862.534546,-240.963760,,,,-0.135339,0.929509,0.153556,-0.306786,414.986145,1792.957397,-575.595520,0.903820,-0.890933,-0.627312,1.415688,-4.550979,-4.668753,7.459273,9.907039,0.732086,-0.935950,9.295085,-108.501610,169.954941,-42.431370,554.257874,1860.796875,-611.233704,,,,379.530273,1720.662964,-464.941528,136.155624,1696.099121,-588.351624,310.135376,1874.207886,-585.502075,294.697327,1873.264771,-295.826569,2627.891846,37.102764,1375.166016,2654.796387,53.806293,1305.494263,2662.909912,37.644718,1330.060181,2455.669434,133.392120,1465.900635,,,,828.799622,762.439636,-79.448730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.413239,1295.005737,-397.699371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,2.775000,-0.026843,0.983247,-0.179066,0.020966,329.301605,1772.511597,-296.672913,0.400829,-0.496963,0.532185,0.831178,-15.720995,0.717187,-5.872414,16.797300,-4.741628,-0.554212,6.141206,176.188187,-96.359703,56.457020,116.655144,1719.712402,-318.377716,377.177032,1720.254639,-408.589172,531.808838,1847.781128,-230.448196,,,,-0.102376,0.933731,0.142979,-0.311806,417.111755,1785.684448,-580.065552,0.767355,-0.942627,-0.637881,1.372688,-16.375780,-6.203320,-1.268256,17.557215,-0.074988,-0.062263,8.456135,-96.848900,104.842415,-100.674011,559.040283,1844.281250,-620.593262,,,,379.656189,1719.971313,-465.443359,133.366531,1703.917969,-585.369995,314.107147,1866.221436,-597.124390,296.164917,1864.814331,-283.692627,2627.877197,37.127949,1375.151001,2654.807617,53.839828,1305.468018,2662.755371,37.697044,1330.084961,2455.600342,133.416290,1465.883057,,,,828.851562,762.604187,-78.914665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.199097,1295.096191,-397.796814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,2.783333,-0.003374,0.987333,-0.156357,0.026742,328.658905,1769.106689,-293.900543,0.235034,-0.466406,0.452622,0.691117,-19.895361,3.666798,-9.547559,22.370218,-5.380183,-0.480221,5.928088,-76.626602,8.878973,-25.574110,115.347153,1727.042480,-321.430573,376.277710,1719.862305,-407.834198,532.075500,1832.206177,-220.515396,,,,-0.071851,0.935191,0.136794,-0.318659,418.118103,1778.875122,-584.210510,0.567609,-0.925942,-0.602285,1.241892,-23.969534,2.002151,4.271479,24.429342,-1.016651,0.530957,7.575600,-112.999550,71.186348,-105.664207,560.809204,1828.621704,-629.658813,,,,379.794495,1718.487671,-465.830292,131.591095,1712.273071,-582.160767,316.920624,1856.535156,-609.327820,295.919464,1854.839355,-272.116180,2627.851074,37.118481,1375.171631,2654.763428,53.766682,1305.395874,2662.748047,37.961617,1330.403931,2455.563232,133.428543,1465.862793,,,,828.487366,762.435242,-79.408020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.791748,1295.206665,-398.163147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,2.791667,0.019513,0.990244,-0.134404,0.031174,328.194519,1764.992432,-291.121094,0.103323,-0.453237,0.387092,0.604930,-15.805370,1.580272,-7.863575,17.724075,-5.161605,-0.190455,5.733939,26.229342,34.771904,-23.297880,114.530144,1733.673462,-323.228699,375.812195,1718.824341,-406.799896,531.861206,1815.777588,-212.075256,,,,-0.039529,0.936125,0.127832,-0.325218,418.125214,1771.820435,-588.321289,0.362446,-0.905493,-0.562083,1.125710,-24.619480,2.453906,4.824321,25.207430,-0.542987,0.494089,8.173156,56.839695,-4.424207,71.706734,561.574524,1812.098022,-638.537048,,,,379.192780,1717.864380,-466.295166,129.187500,1721.004761,-578.889526,317.757263,1844.697510,-620.857422,296.411041,1843.462646,-260.565094,2627.898682,37.140434,1375.133911,2654.784912,53.791134,1305.448853,2662.698486,37.763535,1330.221558,2455.604492,133.401840,1465.891846,,,,828.487366,762.439819,-79.158730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.398254,1294.732422,-397.814392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,2.800000,0.042334,0.992824,-0.107415,0.031160,329.153351,1759.856567,-287.735840,0.037628,-0.466172,0.370540,0.596684,-7.883350,-1.552148,-1.986326,8.276586,-6.327774,0.885316,5.614182,-139.940186,129.092484,-14.370917,115.331985,1739.881226,-322.363586,375.625732,1717.910767,-406.131226,533.496277,1797.309082,-204.614594,,,,-0.007554,0.936355,0.118170,-0.330481,418.431213,1764.158691,-592.142944,0.193499,-0.892661,-0.521689,1.051877,-20.273731,1.539845,4.847166,20.901922,-0.367851,0.275329,8.103024,21.016298,-26.251093,-8.415871,561.969910,1794.822266,-646.369629,,,,379.050537,1716.936157,-466.913788,128.258133,1729.214111,-576.447327,318.562103,1831.471802,-631.743958,297.221313,1830.150146,-248.075562,2627.908691,37.142448,1375.141968,2654.785645,53.789288,1305.481079,2662.735596,37.792637,1330.231567,2455.595947,133.409882,1465.902832,,,,828.903137,762.441589,-79.510635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.739105,1293.017700,-394.252930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,2.808333,0.062734,0.994764,-0.076069,0.026897,331.148071,1753.505371,-284.536896,0.044377,-0.526787,0.359484,0.639298,0.809912,-7.273825,-1.326710,7.438054,-7.325108,1.875205,4.966894,-119.680130,118.786659,-77.674538,116.843201,1744.271240,-319.532745,376.011169,1717.354980,-405.884979,536.572998,1777.533203,-199.625534,,,,0.025305,0.937416,0.103131,-0.331626,419.784515,1754.921631,-595.270203,0.115159,-0.912861,-0.472185,1.034184,-9.400780,-2.424023,5.940527,11.381582,0.801570,-0.731713,8.613291,140.330521,-120.845139,61.232067,563.722656,1775.465210,-652.353821,,,,379.113098,1715.942627,-467.001648,129.014206,1735.897461,-575.846436,320.767761,1817.624878,-642.553162,299.965332,1815.274414,-236.003815,2627.892334,37.156765,1375.144409,2654.783203,53.822922,1305.472778,2662.851318,37.868038,1330.316772,2455.609619,133.410812,1465.890137,,,,828.987793,762.561829,-79.175949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.685760,1292.884644,-394.374481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,2.816667,0.082061,0.995467,-0.043725,0.019980,333.783722,1746.201416,-281.574127,0.107567,-0.631450,0.362373,0.735945,7.582764,-12.559575,0.346727,14.675199,-7.507585,2.496470,4.687325,-21.897238,74.551804,-33.548241,118.946182,1747.370117,-315.267700,376.803253,1716.509644,-405.497833,540.353333,1756.828857,-196.933594,,,,0.055728,0.939926,0.083797,-0.326207,422.495087,1744.619507,-597.045593,0.129199,-0.985547,-0.407520,1.074275,1.684863,-8.722264,7.759863,11.795428,1.957975,-2.289838,8.235785,138.768585,-186.974960,-45.300632,567.762512,1755.313843,-654.180176,,,,379.745270,1715.012329,-467.408630,130.673538,1739.808594,-578.049377,324.539459,1801.542847,-652.576111,303.480377,1799.557861,-225.237518,2627.831787,37.119148,1375.168335,2654.791260,53.810707,1305.512695,2662.750732,37.821293,1330.272339,2455.652344,133.408340,1465.890503,,,,828.460999,762.356140,-79.319618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.726471,1294.747192,-398.037109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,2.825000,0.099931,0.994862,-0.009382,0.013258,336.322784,1737.936523,-279.089905,0.183937,-0.748081,0.355452,0.848413,9.164355,-13.995702,-0.830566,16.749773,-7.982652,2.467622,4.376500,-57.007996,-3.461752,-37.299038,121.767937,1748.910156,-310.906158,377.595154,1715.516235,-405.315094,543.347473,1735.461304,-195.353027,,,,0.089159,0.941766,0.056542,-0.319266,424.630310,1732.258667,-599.612000,0.156295,-1.118818,-0.369639,1.188619,3.251513,-15.992581,4.545704,16.941027,3.476245,-2.747453,9.514246,182.192429,-54.913784,153.415253,570.263672,1732.073486,-656.597656,,,,379.799347,1714.288330,-468.020538,133.275406,1742.233276,-582.601440,329.128876,1785.170166,-661.756470,306.796265,1784.344727,-217.563934,2627.891602,37.120564,1375.141357,2654.827637,53.876999,1305.541260,2662.721680,37.901344,1330.372925,2455.615479,133.396301,1465.869385,,,,829.398865,762.901794,-78.906647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.975006,1295.324463,-398.023560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,2.833333,0.116875,0.992804,0.024882,0.007834,337.753082,1729.460938,-277.280609,0.229402,-0.852744,0.332172,0.943470,5.455812,-12.559568,-2.793603,13.975437,-7.994526,2.148878,4.192749,-1.424961,-38.249271,-22.050131,123.520340,1749.741211,-307.280151,377.851715,1714.536865,-405.039154,544.966309,1714.282349,-194.774124,,,,0.119537,0.943450,0.030800,-0.307675,427.992737,1720.126221,-600.181396,0.236818,-1.240635,-0.284648,1.294713,9.662697,-14.617967,10.198828,20.274830,3.266338,-3.713166,8.647781,-25.188787,-115.885582,-103.975746,574.502625,1709.909790,-654.729492,,,,380.600098,1713.329590,-468.338837,136.936462,1743.292236,-588.637024,334.008636,1768.675293,-668.727783,308.846558,1769.457886,-211.412476,2627.920410,37.173489,1375.136841,2654.807617,53.863384,1305.531738,2662.812500,37.885433,1330.356201,2455.554443,133.417877,1465.883057,,,,828.724548,762.373352,-79.228287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.018921,1295.198853,-398.121796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,2.841667,0.133064,0.989307,0.059462,0.005550,337.805847,1721.019409,-276.286102,0.207664,-0.932095,0.274794,0.993698,-2.608595,-9.522070,-6.885352,12.036720,-8.167885,1.411283,4.035215,-20.803011,-88.511391,-18.904036,124.644402,1750.237549,-305.103027,377.790863,1713.737305,-404.863159,544.022888,1693.451172,-194.589676,,,,0.149283,0.942956,0.002676,-0.297560,429.279266,1707.361572,-600.378235,0.260354,-1.363154,-0.197637,1.401797,2.824364,-14.702338,10.441406,18.252636,3.878860,-3.281358,8.753984,73.502563,51.816956,12.744369,575.305115,1687.468628,-652.451172,,,,380.386017,1712.201050,-468.660065,139.835434,1742.625000,-594.123962,338.016083,1753.023560,-674.010254,309.836731,1755.141479,-206.954254,2627.889893,37.143456,1375.145386,2654.802734,53.809132,1305.559814,2662.793457,37.939777,1330.391235,2455.620361,133.413422,1465.897339,,,,829.243896,762.659119,-79.101624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.289459,1295.073486,-398.062042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
